Jul 06 22:55:59 2016 | @Brotherdankbill, go back to runescape, you 12 year old
Jul 06 22:55:59 2016 | Beers in winter??
Jul 06 22:56:00 2016 | What was Disney thinking when they made this game
Jul 06 22:56:00 2016 | 599 US DOLLARS\
Jul 06 22:56:02 2016 | PedoBear TwitchRPG :tf:
Jul 06 22:56:02 2016 | Mikey Mouse aids
Jul 06 22:56:02 2016 | MASSIVE DAMAGE
Jul 06 22:56:02 2016 | Those birds are actually dropping turds on you
Jul 06 22:56:03 2016 | NotRoy
Jul 06 22:56:03 2016 | Kreygasm MINNIE IS SO HOT Kreygasm
Jul 06 22:56:04 2016 | I would really prefer if you would be quiet LUL
Jul 06 22:56:06 2016 | pedobears WutFace
Jul 06 22:56:06 2016 | MASSIVE DAMAGE!
Jul 06 22:56:07 2016 | BEARS Kreygasm KappaPride
Jul 06 22:56:07 2016 | TwitchRPG haHAA BudStar
Jul 06 22:56:08 2016 | Still better than XBONE
Jul 06 22:56:08 2016 | Mau5 Mau5 TwitchRPG
Jul 06 22:56:10 2016 | TwitchRPG cmonBruh
Jul 06 22:56:10 2016 | Alligator? PogChamp TOO SOON
Jul 06 22:56:10 2016 | just like in milky way wishes
Jul 06 22:56:10 2016 | Final fantasy menu select noise. Keepo
Jul 06 22:56:11 2016 | what were they THINKING!?
Jul 06 22:56:12 2016 | Defend TwitchRPG Kappa
Jul 06 22:56:12 2016 | WHO GETS HURT BY COTTON BALLS
Jul 06 22:56:12 2016 | is this The first kingdom hearts game?
Jul 06 22:56:13 2016 | wtf are these jumping bears
Jul 06 22:56:13 2016 | TWO CATS? WHY NOT THREE
Jul 06 22:56:13 2016 | and NOW TOAD makes an appearnce
Jul 06 22:56:13 2016 | This game was so hard
Jul 06 22:56:14 2016 | SriHead XD NATION SriHead
Jul 06 22:56:14 2016 | 599 US Dollars!
Jul 06 22:56:17 2016 | Fedoras are KRlNGE
Jul 06 22:56:17 2016 | FrankerSad FrankerSad FrankerSad
Jul 06 22:56:18 2016 | WHAT WERE THEY THINKING?
Jul 06 22:56:18 2016 | WR PACE PogChamp
Jul 06 22:56:18 2016 | I'm being copypasta'd FeelsBadMan
Jul 06 22:56:19 2016 | Id really prefer if youd be quiet
Jul 06 22:56:20 2016 | ßREXIT <3
Jul 06 22:56:21 2016 | @Emperor_Troll, Ayyyy LUL
Jul 06 22:56:22 2016 | FailWings DatAss
Jul 06 22:56:22 2016 | YSG ???
Jul 06 22:56:23 2016 | TwitchRPG OpieOP DoritosChip
Jul 06 22:56:23 2016 | VoHiYo D.Va online VoHiYo
Jul 06 22:56:24 2016 | carefully measuring? 6.5''. what bout you, chat?
Jul 06 22:56:25 2016 | @Seal481 Blacks
Jul 06 22:56:25 2016 | goatse ground
Jul 06 22:56:26 2016 | WTF how old is this game
Jul 06 22:56:26 2016 | LUL mickwymousecapade hypee!
Jul 06 22:56:27 2016 | just tank all that *** mickey
Jul 06 22:56:27 2016 | lag WutFace
